customerinstallationid,hostname,machinetypecode
1942,serco-db.sgtc2vmhosted.jiveland.com,dbvirtual
2042,devo-team-uat-wa01.sgtc2vmhosted.jiveland.com,webapp
2042,devo-team-uat-wa02.sgtc2vmhosted.jiveland.com,webapp
2042,devo-team-uat-db.sgtc2vmhosted.jiveland.com,dbvirtual
2042,devo-team-uat-eae01.sgtc2vmhosted.jiveland.com,eaeservice
2042,devo-team-uat-eaedb.sgtc2vmhosted.jiveland.com,dbeae
2042,devo-team-uat-cs01.sgtc2vmhosted.jiveland.com,cache
2045,devo-team-db.sgtc2vmhosted.jiveland.com,dbvirtual
2045,devo-team-wa02.sgtc2vmhosted.jiveland.com,webapp
2045,devo-team-wa01.sgtc2vmhosted.jiveland.com,webapp
2045,devo-team-eaedb.sgtc2vmhosted.jiveland.com,dbeae
2045,devo-team-cs01.sgtc2vmhosted.jiveland.com,cache
2045,devo-team-eae01.sgtc2vmhosted.jiveland.com,eaeservice
2056,simosa-db.sgtc2vmhosted.jiveland.com,dbvirtual
2056,simosa-wa02.sgtc2vmhosted.jiveland.com,webapp
2056,simosa-wa01.sgtc2vmhosted.jiveland.com,webapp
2056,simosa-eae01.sgtc2vmhosted.jiveland.com,eaeservice
2056,simosa-cs01.sgtc2vmhosted.jiveland.com,cache
2056,simosa-eaedb.sgtc2vmhosted.jiveland.com,dbeae
2074,sony-ericsson-vm-wa05.sgtc2vmhosted.jiveland.com,webapp
2074,sony-ericsson-vm-db.sgtc2vmhosted.jiveland.com,dbvirtual
2074,sony-ericsson-vm-wa01.sgtc2vmhosted.jiveland.com,webapp
2074,sony-ericsson-vm-wa02.sgtc2vmhosted.jiveland.com,webapp
2074,sony-ericsson-vm-wa07.sgtc2vmhosted.jiveland.com,webapp
2074,sony-ericsson-vm-wa03.sgtc2vmhosted.jiveland.com,webapp
2074,sony-ericsson-vm-wa04.sgtc2vmhosted.jiveland.com,webapp
2074,sony-ericsson-vm-wa06.sgtc2vmhosted.jiveland.com,webapp
2074,sony-ericsson-vm-cs01.sgtc2vmhosted.jiveland.com,cache
2124,screwfix-wa02.sgtc2vmhosted.jiveland.com,webapp
2124,screwfix-db.sgtc2vmhosted.jiveland.com,dbvirtual
2124,screwfix-cs01.sgtc2vmhosted.jiveland.com,cache
2124,screwfix-wa01.sgtc2vmhosted.jiveland.com,webapp
2431,pwc-llc-uk-uat-eaedb.sgtc2vmhosted.jiveland.com,dbeae
2431,pwc-llc-uk-uat-db.sgtc2vmhosted.jiveland.com,dbvirtual
2431,pwc-llc-uk-uat-wa01.sgtc2vmhosted.jiveland.com,webapp
2431,pwc-llc-uk-uat-cs01.sgtc2vmhosted.jiveland.com,cache
2431,pwc-llc-uk-uat-eae01.sgtc2vmhosted.jiveland.com,eaeservice
2431,pwc-llc-uk-uat-wa02.sgtc2vmhosted.jiveland.com,webapp
2432,pwc-llc-uk-eaedb.sgtc2vmhosted.jiveland.com,dbeae
2432,pwc-llc-uk-db.sgtc2vmhosted.jiveland.com,dbvirtual
2432,pwc-llc-uk-wa02.sgtc2vmhosted.jiveland.com,webapp
2432,pwc-llc-uk-wa04.sgtc2vmhosted.jiveland.com,webapp
2432,pwc-llc-uk-wa01.sgtc2vmhosted.jiveland.com,webapp
2432,pwc-llc-uk-wa06.sgtc2vmhosted.jiveland.com,webapp
2432,pwc-llc-uk-wa03.sgtc2vmhosted.jiveland.com,webapp
2432,pwc-llc-uk-eae01.sgtc2vmhosted.jiveland.com,eaeservice
2432,pwc-llc-uk-wa05.sgtc2vmhosted.jiveland.com,webapp
2432,pwc-llc-uk-cs01.sgtc2vmhosted.jiveland.com,cache
2452,enel-wa02.sgtc2vmhosted.jiveland.com,webapp
2452,enel-db.sgtc2vmhosted.jiveland.com,dbvirtual
2452,enel-eaedb.sgtc2vmhosted.jiveland.com,dbeae
2452,enel-cs01.sgtc2vmhosted.jiveland.com,cache
2452,enel-eae01.sgtc2vmhosted.jiveland.com,eaeservice
2452,enel-wa01.sgtc2vmhosted.jiveland.com,webapp
2453,enel-uat-eae01.sgtc2vmhosted.jiveland.com,eaeservice
2453,enel-uat-db.sgtc2vmhosted.jiveland.com,dbvirtual
2453,enel-uat-wa02.sgtc2vmhosted.jiveland.com,webapp
2453,enel-uat-wa01.sgtc2vmhosted.jiveland.com,webapp
2453,enel-uat-cs01.sgtc2vmhosted.jiveland.com,cache
2453,enel-uat-eaedb.sgtc2vmhosted.jiveland.com,dbeae
2491,jasper-cs01.m1phx1.jivehosted.com,cache
2491,jasper-db.m1phx1.jivehosted.com,dbvirtual
2491,jasper-wa01.m1phx1.jivehosted.com,webapp
2491,jasper-wa02.m1phx1.jivehosted.com,webapp
2491,jasper-eae01.m1phx1.jivehosted.com,eaeservice
2491,jasper-eaedb.m1phx1.jivehosted.com,dbeae
2492,jasper-uat-wa01.m1phx1.jivehosted.com,webapp
2492,jasper-uat-eae01.m1phx1.jivehosted.com,eaeservice
2492,jasper-uat-db.m1phx1.jivehosted.com,dbvirtual
2492,jasper-uat-wa02.m1phx1.jivehosted.com,webapp
2492,jasper-uat-cs01.m1phx1.jivehosted.com,cache
2492,jasper-uat-eaedb.m1phx1.jivehosted.com,dbeae
2499,lucidchart-wa01.m1phx1.jivehosted.com,webapp
2499,lucidchart-eae01.m1phx1.jivehosted.com,eaeservice
2499,lucidchart-eaedb.m1phx1.jivehosted.com,dbeae
2499,lucidchart-cs01.m1phx1.jivehosted.com,cache
2499,lucidchart-wa02.m1phx1.jivehosted.com,webapp
2499,lucidchart-db.m1phx1.jivehosted.com,dbvirtual
2500,palo-alto-networks-db.m1phx1.jivehosted.com,dbvirtual
2500,palo-alto-networks-eae01.m1phx1.jivehosted.com,eaeservice
2500,palo-alto-networks-eaedb.m1phx1.jivehosted.com,dbeae
2500,palo-alto-networks-cs01.m1phx1.jivehosted.com,cache
2500,palo-alto-networks-wa01.m1phx1.jivehosted.com,webapp
2500,palo-alto-networks-wa02.m1phx1.jivehosted.com,webapp
2501,qualysinc-wa02.m1phx1.jivehosted.com,webapp
2501,qualysinc-db.m1phx1.jivehosted.com,dbvirtual
2501,qualysinc-eaedb.m1phx1.jivehosted.com,dbeae
2501,qualysinc-cs01.m1phx1.jivehosted.com,cache
2501,qualysinc-eae01.m1phx1.jivehosted.com,eaeservice
2501,qualysinc-wa01.m1phx1.jivehosted.com,webapp
2502,qualysinc-uat-eae01.m1phx1.jivehosted.com,eaeservice
2502,qualysinc-uat-eaedb.m1phx1.jivehosted.com,dbeae
2502,qualysinc-uat-db.m1phx1.jivehosted.com,dbvirtual
2502,qualysinc-uat-cs01.m1phx1.jivehosted.com,cache
2502,qualysinc-uat-wa02.m1phx1.jivehosted.com,webapp
2502,qualysinc-uat-wa01.m1phx1.jivehosted.com,webapp
2503,zeltiq-coolnet-cs01.m1phx1.jivehosted.com,cache
2503,zeltiq-coolnet-wa02.m1phx1.jivehosted.com,webapp
2503,zeltiq-coolnet-db.m1phx1.jivehosted.com,dbvirtual
2503,zeltiq-coolnet-eae01.m1phx1.jivehosted.com,eaeservice
2503,zeltiq-coolnet-wa01.m1phx1.jivehosted.com,webapp
2503,zeltiq-coolnet-eaedb.m1phx1.jivehosted.com,dbeae
2505,zeltiq-coolnet-uat-wa01.m1phx1.jivehosted.com,webapp
2505,zeltiq-coolnet-uat-db.m1phx1.jivehosted.com,dbvirtual
2505,zeltiq-coolnet-uat-eaedb.m1phx1.jivehosted.com,dbeae
2505,zeltiq-coolnet-uat-cs01.m1phx1.jivehosted.com,cache
2505,zeltiq-coolnet-uat-wa02.m1phx1.jivehosted.com,webapp
2505,zeltiq-coolnet-uat-eae01.m1phx1.jivehosted.com,eaeservice
2514,prudential-ii-eae01.m1phx1.jivehosted.com,eaeservice
2514,prudential-ii-wa02.m1phx1.jivehosted.com,webapp
2514,prudential-ii-wa01.m1phx1.jivehosted.com,webapp
2514,prudential-ii-cs01.m1phx1.jivehosted.com,cache
2514,prudential-ii-eaedb.m1phx1.jivehosted.com,dbeae
2514,prudential-ii-db.m1phx1.jivehosted.com,dbvirtual
2515,prudential-ii-uat-cs01.m1phx1.jivehosted.com,cache
2515,prudential-ii-uat-eaedb.m1phx1.jivehosted.com,dbeae
2515,prudential-ii-uat-wa01.m1phx1.jivehosted.com,webapp
2515,prudential-ii-uat-db.m1phx1.jivehosted.com,dbvirtual
2515,prudential-ii-uat-wa02.m1phx1.jivehosted.com,webapp
2515,prudential-ii-uat-eae01.m1phx1.jivehosted.com,eaeservice
2518,boston-scientific-eaedb.m1phx1.jivehosted.com,dbeae
2518,boston-scientific-cs01.m1phx1.jivehosted.com,cache
2518,boston-scientific-wa02.m1phx1.jivehosted.com,webapp
2518,boston-scientific-db.m1phx1.jivehosted.com,dbvirtual
2518,boston-scientific-eae01.m1phx1.jivehosted.com,eaeservice
2518,boston-scientific-wa01.m1phx1.jivehosted.com,webapp
2519,boston-scientific-uat-eae01.m1phx1.jivehosted.com,eaeservice
2519,boston-scientific-uat-db.m1phx1.jivehosted.com,dbvirtual
2519,boston-scientific-uat-wa01.m1phx1.jivehosted.com,webapp
2519,boston-scientific-uat-wa02.m1phx1.jivehosted.com,webapp
2519,boston-scientific-uat-cs01.m1phx1.jivehosted.com,cache
2519,boston-scientific-uat-eaedb.m1phx1.jivehosted.com,dbeae
2529,plantronics-social-eae01.m1phx1.jivehosted.com,eaeservice
2529,plantronics-social-cs01.m1phx1.jivehosted.com,cache
2529,plantronics-social-wa01.m1phx1.jivehosted.com,webapp
2529,plantronics-social-wa02.m1phx1.jivehosted.com,webapp
2529,plantronics-social-db.m1phx1.jivehosted.com,dbvirtual
2529,plantronics-social-eaedb.m1phx1.jivehosted.com,dbeae
2530,plantronics-social-uat-eae01.m1phx1.jivehosted.com,eaeservice
2530,plantronics-social-uat-eaedb.m1phx1.jivehosted.com,dbeae
2530,plantronics-social-uat-db.m1phx1.jivehosted.com,dbvirtual
2530,plantronics-social-uat-wa01.m1phx1.jivehosted.com,webapp
2530,plantronics-social-uat-wa02.m1phx1.jivehosted.com,webapp
2530,plantronics-social-uat-cs01.m1phx1.jivehosted.com,cache
2533,palo-alto-networks-uat-wa02.m1phx1.jivehosted.com,webapp
2533,palo-alto-networks-uat-cs01.m1phx1.jivehosted.com,cache
2533,palo-alto-networks-uat-wa01.m1phx1.jivehosted.com,webapp
2533,palo-alto-networks-uat-eae01.m1phx1.jivehosted.com,eaeservice
2533,palo-alto-networks-uat-eaedb.m1phx1.jivehosted.com,dbeae
2533,palo-alto-networks-uat-db.m1phx1.jivehosted.com,dbvirtual
2537,teletech-wa02.m1phx1.jivehosted.com,webapp
2537,teletech-db.m1phx1.jivehosted.com,dbvirtual
2537,teletech-eae01.m1phx1.jivehosted.com,eaeservice
2537,teletech-wa01.m1phx1.jivehosted.com,webapp
2537,teletech-cs01.m1phx1.jivehosted.com,cache
2537,teletech-eaedb.m1phx1.jivehosted.com,dbeae
2537,teletech-wa04.m1phx1.jivehosted.com,webapp
2537,teletech-wa03.m1phx1.jivehosted.com,webapp
2538,teletech-uat-wa01.m1phx1.jivehosted.com,webapp
2538,teletech-uat-eae01.m1phx1.jivehosted.com,eaeservice
2538,teletech-uat-cs01.m1phx1.jivehosted.com,cache
2538,teletech-uat-db.m1phx1.jivehosted.com,dbvirtual
2538,teletech-uat-wa02.m1phx1.jivehosted.com,webapp
2538,teletech-uat-eaedb.m1phx1.jivehosted.com,dbeae
2542,gap-phx-wa02.m1phx1.jivehosted.com,webapp
2542,gap-phx-eae01.m1phx1.jivehosted.com,eaeservice
2542,gap-phx-wa01.m1phx1.jivehosted.com,webapp
2542,gap-phx-eaedb.m1phx1.jivehosted.com,dbeae
2542,gap-phx-wa04.m1phx1.jivehosted.com,webapp
2542,gap-phx-db.m1phx1.jivehosted.com,dbvirtual
2542,gap-phx-cs01.m1phx1.jivehosted.com,cache
2542,gap-phx-wa03.m1phx1.jivehosted.com,webapp
2543,gap-phx-uat-eaedb.m1phx1.jivehosted.com,dbeae
2543,gap-phx-uat-cs01.m1phx1.jivehosted.com,cache
2543,gap-phx-uat-db.m1phx1.jivehosted.com,dbvirtual
2543,gap-phx-uat-wa02.m1phx1.jivehosted.com,webapp
2543,gap-phx-uat-eae01.m1phx1.jivehosted.com,eaeservice
2543,gap-phx-uat-wa01.m1phx1.jivehosted.com,webapp
2576,ubm-wiki-phx-db.m1phx1.jivehosted.com,dbvirtual
2576,ubm-wiki-phx-eae01.m1phx1.jivehosted.com,eaeservice
2576,ubm-wiki-phx-cs01.m1phx1.jivehosted.com,cache
2576,ubm-wiki-phx-eaedb.m1phx1.jivehosted.com,dbeae
2576,ubm-wiki-phx-wa02.m1phx1.jivehosted.com,webapp
2576,ubm-wiki-phx-wa01.m1phx1.jivehosted.com,webapp
2577,ubm-wiki-phx-uat-wa02.m1phx1.jivehosted.com,webapp
2577,ubm-wiki-phx-uat-eaedb.m1phx1.jivehosted.com,dbeae
2577,ubm-wiki-phx-uat-cs01.m1phx1.jivehosted.com,cache
2577,ubm-wiki-phx-uat-wa01.m1phx1.jivehosted.com,webapp
2577,ubm-wiki-phx-uat-db.m1phx1.jivehosted.com,dbvirtual
2577,ubm-wiki-phx-uat-eae01.m1phx1.jivehosted.com,eaeservice
2578,dishnetwork-phx-cs01.m1phx1.jivehosted.com,cache
2578,dishnetwork-phx-eaedb.m1phx1.jivehosted.com,dbeae
2578,dishnetwork-phx-db.m1phx1.jivehosted.com,dbvirtual
2578,dishnetwork-phx-wa02.m1phx1.jivehosted.com,webapp
2578,dishnetwork-phx-wa01.m1phx1.jivehosted.com,webapp
2578,dishnetwork-phx-eae01.m1phx1.jivehosted.com,eaeservice
2579,dishnetwork-phx-uat-wa01.m1phx1.jivehosted.com,webapp
2579,dishnetwork-phx-uat-db.m1phx1.jivehosted.com,dbvirtual
2579,dishnetwork-phx-uat-cs01.m1phx1.jivehosted.com,cache
2579,dishnetwork-phx-uat-eaedb.m1phx1.jivehosted.com,dbeae
2579,dishnetwork-phx-uat-wa02.m1phx1.jivehosted.com,webapp
2579,dishnetwork-phx-uat-eae01.m1phx1.jivehosted.com,eaeservice
2584,ticketmaster-cs01.m1phx1.jivehosted.com,cache
2584,ticketmaster-db.m1phx1.jivehosted.com,dbvirtual
2584,ticketmaster-wa01.m1phx1.jivehosted.com,webapp
2584,ticketmaster-eae01.m1phx1.jivehosted.com,eaeservice
2584,ticketmaster-eaedb.m1phx1.jivehosted.com,dbeae
2584,ticketmaster-wa02.m1phx1.jivehosted.com,webapp
2585,ticketmaster-uat-eaedb.m1phx1.jivehosted.com,dbeae
2585,ticketmaster-uat-wa02.m1phx1.jivehosted.com,webapp
2585,ticketmaster-uat-wa01.m1phx1.jivehosted.com,webapp
2585,ticketmaster-uat-db.m1phx1.jivehosted.com,dbvirtual
2585,ticketmaster-uat-eae01.m1phx1.jivehosted.com,eaeservice
2585,ticketmaster-uat-cs01.m1phx1.jivehosted.com,cache
2587,bayer-eae01.m1phx1.jivehosted.com,eaeservice
2587,bayer-wa01.m1phx1.jivehosted.com,webapp
2587,bayer-db.m1phx1.jivehosted.com,dbvirtual
2587,bayer-eaedb.m1phx1.jivehosted.com,dbeae
2587,bayer-cs01.m1phx1.jivehosted.com,cache
2587,bayer-wa02.m1phx1.jivehosted.com,webapp
2588,bayer-uat-eae01.m1phx1.jivehosted.com,eaeservice
2588,bayer-uat-cs01.m1phx1.jivehosted.com,cache
2588,bayer-uat-eaedb.m1phx1.jivehosted.com,dbeae
2588,bayer-uat-db.m1phx1.jivehosted.com,dbvirtual
2588,bayer-uat-wa02.m1phx1.jivehosted.com,webapp
2588,bayer-uat-wa01.m1phx1.jivehosted.com,webapp
2589,extremenetworks-phx-eaedb.m1phx1.jivehosted.com,dbeae
2589,extremenetworks-phx-cs01.m1phx1.jivehosted.com,cache
2589,extremenetworks-phx-eae01.m1phx1.jivehosted.com,eaeservice
2589,extremenetworks-phx-wa02.m1phx1.jivehosted.com,webapp
2589,extremenetworks-phx-db.m1phx1.jivehosted.com,dbvirtual
2589,extremenetworks-phx-wa01.m1phx1.jivehosted.com,webapp
2590,extremenetworks-phx-uat-db.m1phx1.jivehosted.com,dbvirtual
2590,extremenetworks-phx-uat-eaedb.m1phx1.jivehosted.com,dbeae
2590,extremenetworks-phx-uat-cs01.m1phx1.jivehosted.com,cache
2590,extremenetworks-phx-uat-eae01.m1phx1.jivehosted.com,eaeservice
2590,extremenetworks-phx-uat-wa01.m1phx1.jivehosted.com,webapp
2590,extremenetworks-phx-uat-wa02.m1phx1.jivehosted.com,webapp
2597,cov-db.m1phx1.jivehosted.com,dbvirtual
2597,cov-cs01.m1phx1.jivehosted.com,cache
2597,cov-eaedb.m1phx1.jivehosted.com,dbeae
2597,cov-eae01.m1phx1.jivehosted.com,eaeservice
2597,cov-wa01.m1phx1.jivehosted.com,webapp
2597,cov-wa02.m1phx1.jivehosted.com,webapp
2598,cov-uat-eaedb.m1phx1.jivehosted.com,dbeae
2598,cov-uat-eae01.m1phx1.jivehosted.com,eaeservice
2598,cov-uat-cs01.m1phx1.jivehosted.com,cache
2598,cov-uat-wa02.m1phx1.jivehosted.com,webapp
2598,cov-uat-wa01.m1phx1.jivehosted.com,webapp
2598,cov-uat-db.m1phx1.jivehosted.com,dbvirtual
2608,supplychaininsights-wa02.m1phx1.jivehosted.com,webapp
2608,supplychaininsights-eaedb.m1phx1.jivehosted.com,dbeae
2608,supplychaininsights-wa01.m1phx1.jivehosted.com,webapp
2608,supplychaininsights-eae01.m1phx1.jivehosted.com,eaeservice
2608,supplychaininsights-cs01.m1phx1.jivehosted.com,cache
2608,supplychaininsights-db.m1phx1.jivehosted.com,dbvirtual
2609,supplychaininsights-uat-cs01.m1phx1.jivehosted.com,cache
2609,supplychaininsights-uat-wa02.m1phx1.jivehosted.com,webapp
2609,supplychaininsights-uat-wa01.m1phx1.jivehosted.com,webapp
2609,supplychaininsights-uat-eae01.m1phx1.jivehosted.com,eaeservice
2609,supplychaininsights-uat-eaedb.m1phx1.jivehosted.com,dbeae
2609,supplychaininsights-uat-db.m1phx1.jivehosted.com,dbvirtual
2614,intelopenport-eae01.m1phx1.jivehosted.com,eaeservice
2614,intelopenport-eaedb.m1phx1.jivehosted.com,dbeae
2614,intelopenport-db.m1phx1.jivehosted.com,dbvirtual
2614,intelopenport-wa02.m1phx1.jivehosted.com,webapp
2614,intelopenport-wa03.m1phx1.jivehosted.com,webapp
2614,intelopenport-wa01.m1phx1.jivehosted.com,webapp
2614,intelopenport-cs01.m1phx1.jivehosted.com,cache
2615,intelopenport-uat-eaedb.m1phx1.jivehosted.com,dbeae
2615,intelopenport-uat-db.m1phx1.jivehosted.com,dbvirtual
2615,intelopenport-uat-wa01.m1phx1.jivehosted.com,webapp
2615,intelopenport-uat-eae01.m1phx1.jivehosted.com,eaeservice
2615,intelopenport-uat-cs01.m1phx1.jivehosted.com,cache
2615,intelopenport-uat-wa02.m1phx1.jivehosted.com,webapp
2616,intelnewsroom-eaedb.m1phx1.jivehosted.com,dbeae
2616,intelnewsroom-cs01.m1phx1.jivehosted.com,cache
2616,intelnewsroom-eae01.m1phx1.jivehosted.com,eaeservice
2616,intelnewsroom-wa01.m1phx1.jivehosted.com,webapp
2616,intelnewsroom-db.m1phx1.jivehosted.com,dbvirtual
2616,intelnewsroom-wa02.m1phx1.jivehosted.com,webapp
2617,intelnewsroom-uat-wa02.m1phx1.jivehosted.com,webapp
2617,intelnewsroom-uat-eaedb.m1phx1.jivehosted.com,dbeae
2617,intelnewsroom-uat-db.m1phx1.jivehosted.com,dbvirtual
2617,intelnewsroom-uat-cs01.m1phx1.jivehosted.com,cache
2617,intelnewsroom-uat-eae01.m1phx1.jivehosted.com,eaeservice
2617,intelnewsroom-uat-wa01.m1phx1.jivehosted.com,webapp
2618,gccsi-wa01.m1phx1.jivehosted.com,webapp
2618,gccsi-wa02.m1phx1.jivehosted.com,webapp
2618,gccsi-db.m1phx1.jivehosted.com,dbvirtual
2618,gccsi-eaedb.m1phx1.jivehosted.com,dbeae
2618,gccsi-cs01.m1phx1.jivehosted.com,cache
2618,gccsi-eae01.m1phx1.jivehosted.com,eaeservice
2619,gccsi-uat-wa01.m1phx1.jivehosted.com,webapp
2619,gccsi-uat-cs01.m1phx1.jivehosted.com,cache
2619,gccsi-uat-db.m1phx1.jivehosted.com,dbvirtual
2619,gccsi-uat-eae01.m1phx1.jivehosted.com,eaeservice
2619,gccsi-uat-wa02.m1phx1.jivehosted.com,webapp
2619,gccsi-uat-eaedb.m1phx1.jivehosted.com,dbeae
2626,buildingexcellentschools-jc-t01.m1phx1.jivehosted.com,thunder
2643,thomsonreuters-jc-t01.m1phx1.jivehosted.com,thunder
2644,ba-1-jc-t01.m1phx1.jivehosted.com,thunder
2645,onf-vm-wa01.m1phx1.jivehosted.com,webapp
2645,onf-vm-wa02.m1phx1.jivehosted.com,webapp
2645,onf-vm-db.m1phx1.jivehosted.com,dbvirtual
2645,onf-vm-cs01.m1phx1.jivehosted.com,cache
2646,jamasoftware-jc-t01.m1phx1.jivehosted.com,thunder
2647,jivesoftware-salesdemoph1-jc-t01.m1phx1.jivehosted.com,thunder
2648,jivesoftware-salesdemoph2-jc-t01.m1phx1.jivehosted.com,thunder
2649,jivesoftware-salesdemoph3-jc-t01.m1phx1.jivehosted.com,thunder
2650,jivesoftware-salesdemoph4-jc-t01.m1phx1.jivehosted.com,thunder
2651,jivesoftware-salesdemoph5-jc-t01.m1phx1.jivehosted.com,thunder
2652,jivesoftware-salesdemoph6-jc-t01.m1phx1.jivehosted.com,thunder
2653,jivesoftware-salesdemoph7-jc-t01.m1phx1.jivehosted.com,thunder
2655,jivesoftware-salesdemoph9-jc-t01.m1phx1.jivehosted.com,thunder
2656,jivesoftware-salesdemoph10-jc-t01.m1phx1.jivehosted.com,thunder
2657,homeaway-prod-db.m1phx1.jivehosted.com,dbvirtual
2657,homeaway-prod-cs01.m1phx1.jivehosted.com,cache
2657,homeaway-prod-wa02.m1phx1.jivehosted.com,webapp
2657,homeaway-prod-wa01.m1phx1.jivehosted.com,webapp
2670,wellsfargo-virt-prod-cs01.m1phx1.jivehosted.com,cache
2670,wellsfargo-virt-prod-db.m1phx1.jivehosted.com,dbvirtual
2670,wellsfargo-virt-prod-wa02.m1phx1.jivehosted.com,webapp
2670,wellsfargo-virt-prod-wa01.m1phx1.jivehosted.com,webapp
2678,hca-vm-db.m1phx1.jivehosted.com,dbvirtual
2678,hca-vm-wa01.m1phx1.jivehosted.com,webapp
2678,hca-vm-cs01.m1phx1.jivehosted.com,cache
2678,hca-vm-wa02.m1phx1.jivehosted.com,webapp
2680,amgen-vm-db.m1phx1.jivehosted.com,dbvirtual
2680,amgen-vm-cs01.m1phx1.jivehosted.com,cache
2680,amgen-vm-wa02.m1phx1.jivehosted.com,webapp
2680,amgen-vm-wa01.m1phx1.jivehosted.com,webapp
2686,berwind-fo-jc-t01.m1phx1.jivehosted.com,thunder
2699,genesys-wa01.m1phx1.jivehosted.com,webapp
2699,genesys-eae01.m1phx1.jivehosted.com,eaeservice
2699,genesys-cs01.m1phx1.jivehosted.com,cache
2699,genesys-wa02.m1phx1.jivehosted.com,webapp
2699,genesys-eaedb.m1phx1.jivehosted.com,dbeae
2699,genesys-db.m1phx1.jivehosted.com,dbvirtual
2700,genesys-uat-eaedb.m1phx1.jivehosted.com,dbeae
2700,genesys-uat-wa02.m1phx1.jivehosted.com,webapp
2700,genesys-uat-eae01.m1phx1.jivehosted.com,eaeservice
2700,genesys-uat-db.m1phx1.jivehosted.com,dbvirtual
2700,genesys-uat-wa01.m1phx1.jivehosted.com,webapp
2700,genesys-uat-cs01.m1phx1.jivehosted.com,cache
2703,mcafeeint-wa02.m1phx1.jivehosted.com,webapp
